Date,Open,High,Low,Close,Volume,Adj Close
2011-06-13,593.0,598.0,590.0,594.5,4560200,455.825
2011-06-14,597.0,598.0,593.0,594.0,7717400,455.441
2011-06-15,593.5,598.5,590.5,590.5,6165600,452.758
2011-06-16,591.5,593.0,587.5,589.0,8727900,451.608
2011-06-17,586.0,590.0,584.0,589.0,11370800,451.608
2011-06-20,586.5,588.0,581.5,585.0,6148400,448.541
2011-06-21,588.0,592.018,585.5,590.5,7173200,452.758
2011-06-22,591.5,593.0,588.5,592.0,6105900,453.908
2011-06-23,592.0,594.5,586.0,586.0,6477700,449.307
2011-06-24,591.0,593.0,587.5,591.0,6115800,453.141
2011-06-27,589.5,596.77,589.5,595.5,5203300,456.591
2011-06-28,597.0,600.0,593.0,595.0,7438000,456.208
2011-06-29,598.0,608.0,597.0,608.0,8803400,466.176
2011-06-30,610.5,613.5,601.71,612.5,7017200,469.626
2011-07-01,617.5,618.0,610.5,615.5,8648700,471.926
2011-07-04,617.0,617.5,613.5,614.5,3033100,471.159
2011-07-05,612.5,616.0,611.0,614.0,4987400,470.776
2011-07-06,616.0,617.0,613.0,615.5,6233500,471.926
2011-07-07,618.0,619.0,613.0,617.5,4942200,473.46
2011-07-08,619.5,620.0,609.0,614.0,5625500,470.776
2011-07-11,612.5,619.0,608.5,611.5,6582800,468.859
2011-07-12,604.5,609.0,601.5,606.0,8117400,464.642
2011-07-13,606.0,611.0,601.5,610.0,5203800,467.709
2011-07-14,606.0,608.0,603.5,604.5,4474300,463.492
2011-07-15,603.5,607.5,601.0,603.5,6946000,462.725
2011-07-18,599.5,602.5,596.0,598.5,6537600,458.892
2011-07-19,600.5,600.5,594.0,594.5,8809900,455.825
2011-07-20,596.5,600.5,592.5,600.5,46345000,460.425
2011-07-21,601.0,602.5,595.0,602.0,6808200,461.575
2011-07-22,604.0,611.0,601.0,610.0,7714300,467.709
2011-07-25,606.0,618.677,606.0,608.5,7131900,466.559
2011-07-26,609.0,615.0,606.636,610.0,6284800,467.709
2011-07-27,607.0,612.5,604.0,606.5,7063900,465.026
2011-07-28,604.5,609.875,602.0,604.0,3437200,463.109
2011-07-29,599.5,602.0,592.5,597.0,7042200,457.742
2011-08-01,601.5,603.5,590.5,590.5,6528500,452.758
2011-08-02,589.0,604.5,587.5,602.5,10775500,461.959
2011-08-03,600.0,614.576,599.0,609.5,13519600,467.326
2011-08-04,613.5,616.0,599.5,599.5,10410700,459.658
2011-08-05,589.5,596.5,580.5,587.5,13092000,450.458
2011-08-08,584.0,593.0,572.5,575.5,11718800,441.257
2011-08-09,574.5,574.5,545.5,571.5,18484400,438.19
2011-08-10,583.0,586.943,565.0,569.0,14059800,436.273
2011-08-11,591.0,591.0,557.0,579.0,11390600,443.94
2011-08-12,580.0,594.462,570.0,594.0,7143900,455.441
2011-08-15,597.0,600.0,591.0,599.0,4083200,459.275
2011-08-16,591.5,603.0,591.5,600.0,7376600,460.042
2011-08-17,599.0,604.5,593.0,604.0,5865400,463.109
2011-08-18,598.0,603.0,581.5,590.0,8176500,452.374
2011-08-19,589.0,600.5,576.5,590.5,9998700,452.758
2011-08-22,589.0,603.5,587.5,600.5,6032100,460.425
2011-08-23,604.5,605.0,593.5,596.5,6106700,457.358
2011-08-24,599.0,613.0,270.5,611.0,10496900,468.476
2011-08-25,613.5,614.0,589.0,589.5,7747500,451.991
2011-08-26,591.0,604.359,585.0,602.0,7716700,461.575
2011-08-30,619.5,625.0,314.9,613.0,7197200,470.009
2011-08-31,614.0,621.13,609.0,621.0,7540900,476.143
2011-09-01,622.5,626.5,618.0,623.0,8477900,477.677
2011-09-02,619.5,628.5,617.5,619.0,5215200,474.61
2011-09-05,612.0,617.5,607.0,609.0,5657600,466.942
2011-09-06,609.0,619.5,605.5,615.0,7440700,471.543
2011-09-07,624.0,633.059,622.0,632.5,6489600,484.961
2011-09-08,633.0,634.0,620.0,629.5,5303500,482.66
2011-09-09,626.5,633.408,620.0,622.0,5070700,476.91
2011-09-12,611.0,621.0,606.5,616.0,6598200,472.31
2011-09-13,610.0,619.0,602.0,619.0,8382900,474.61
2011-09-14,617.0,627.0,614.0,625.0,7788200,479.21
2011-09-15,628.5,634.5,611.0,619.5,12789700,474.993
2011-09-16,624.5,632.0,620.438,620.5,26543000,475.76
2011-09-19,615.0,629.5,612.5,626.0,8155500,479.977
2011-09-20,624.0,639.0,622.5,638.5,5173900,489.561
2011-09-21,638.0,650.595,633.5,647.0,9332600,496.078
2011-09-22,640.0,642.0,623.0,631.0,11471100,483.811
2011-09-23,635.0,638.047,623.0,627.0,5972400,480.744
2011-09-26,622.0,633.5,618.0,623.5,8120600,478.06
2011-09-27,634.0,634.0,619.0,629.0,8302100,482.277
2011-09-28,626.0,632.5,623.5,629.0,7411600,482.277
2011-09-29,628.5,641.0,625.5,640.0,7363500,490.711
2011-09-30,638.0,641.0,628.0,638.5,8801400,489.561
2011-10-03,626.5,643.0,622.0,640.0,8793200,490.711
2011-10-04,637.0,638.5,620.0,624.5,8998400,478.827
2011-10-05,631.5,635.825,622.0,627.0,7652500,480.744
2011-10-06,628.0,641.16,626.5,641.0,7975400,491.478
2011-10-07,642.0,653.0,640.0,649.5,7664100,497.995
2011-10-10,652.5,653.0,641.0,646.0,4948500,495.312
2011-10-11,640.5,641.0,634.0,640.0,5953100,490.711
2011-10-12,637.0,641.0,629.0,631.5,6967800,484.194
2011-10-13,630.0,635.0,624.5,635.0,6302800,486.877
2011-10-14,635.0,638.601,630.0,632.5,6231400,484.961
2011-10-17,634.5,640.5,634.5,638.0,6038700,489.178
2011-10-18,635.5,640.5,633.0,639.0,4734200,489.944
2011-10-19,641.0,643.0,632.0,636.5,5869300,488.028
