Date,Open,High,Low,Close,Adj Close,Volume
2002-05-31,573.900024,589.500000,573.900024,584.000000,306.554443,38472776
2002-06-03,585.000000,585.000000,585.000000,585.000000,307.079498,0
2002-06-04,585.000000,585.000000,585.000000,585.000000,307.079498,0
2002-06-05,585.599976,585.599976,561.000000,564.500000,296.318542,63992672
2002-06-06,566.000000,571.500000,563.500000,564.000000,296.056061,59009024
2002-06-07,568.799988,570.500000,545.500000,558.000000,292.906464,41333912
2002-06-10,556.700012,566.000000,547.500000,555.500000,291.594238,56074332
2002-06-11,555.599976,562.599976,548.700012,560.000000,293.956451,41601112
2002-06-12,560.099976,560.387024,547.500000,551.500000,289.494568,66149504
2002-06-13,550.599976,554.000000,536.500000,542.500000,284.770203,63791816
2002-06-14,540.000000,548.000000,521.500000,523.500000,274.796692,112372872
2002-06-17,529.599976,540.099976,523.395020,540.000000,283.457947,66194100
2002-06-18,533.500000,553.900024,532.700012,541.000000,283.982941,85198464
2002-06-19,549.400024,549.700012,528.099976,538.000000,282.408112,87061024
2002-06-20,535.200012,544.200012,533.000000,538.500000,282.670532,78293456
2002-06-21,538.500000,543.000000,527.000000,532.000000,279.258545,54046572
2002-06-24,535.900024,541.000000,528.500000,531.000000,278.733582,74134136
2002-06-25,534.200012,548.500000,531.000000,545.500000,286.344910,81961360
2002-06-26,543.500000,546.000000,523.500000,535.500000,281.095795,68514688
2002-06-27,537.099976,541.500000,529.000000,535.000000,280.833252,80429368
2002-06-28,536.500000,551.500000,531.900024,550.500000,288.969574,53688564
2002-07-01,551.099976,564.000000,541.500000,557.000000,292.381653,55732168
2002-07-02,551.500000,564.500000,543.000000,543.500000,285.295135,66083760
2002-07-03,543.500000,548.500000,532.500000,532.500000,279.521057,71574872
2002-07-04,545.099976,545.099976,526.000000,536.500000,281.620758,40627872
2002-07-05,537.099976,558.000000,537.000000,555.000000,291.331696,30495992
2002-07-08,545.799988,555.700012,545.799988,554.000000,290.806885,40843920
2002-07-09,554.000000,556.500000,541.000000,546.000000,286.607422,56066144
2002-07-10,546.099976,553.099976,532.500000,537.000000,281.883118,97400080
2002-07-11,530.000000,534.500000,512.000000,513.000000,269.285065,71336296
2002-07-12,513.000000,516.500000,493.000000,500.000000,262.460999,78293248
2002-07-15,501.500000,501.500000,456.000000,462.500000,242.776489,113457592
